1:-0.325384 2:-0.518362 3:-0.113369 4:-0.172709 5:-0.144348 6:-0.442775 7:-0.209349 8:0.576096 9:0.199479 10:0.043934 11:0.188054 12:-0.315154 13:0.020326
1:-0.251339 2:-0.461638 3:-0.175803 4:-0.139204 5:-0.115773 6:-0.430022 7:-0.222504 8:0.56604 9:0.137028 10:0.092722 11:0.249136 12:-0.295184 13:0.025304
1:-0.161248 2:-0.392515 3:-0.248736 4:-0.104549 5:-0.076503 6:-0.407951 7:-0.243421 8:0.553843 9:0.065989 10:0.134875 11:0.308507 12:-0.238671 13:0.004038
1:-0.026736 2:-0.276462 3:-0.341209 4:-0.044601 5:-0.020326 6:-0.359068 7:-0.260568 8:0.521665 9:-0.038059 10:0.188515 11:0.387544 12:-0.137202 13:-0.024461
1:0.09545 2:-0.156304 3:-0.415653 4:0.023583 5:0.035001 6:-0.302393 7:-0.255835 8:0.481547 9:-0.139624 10:0.237483 11:0.456375 12:-0.037745 13:-0.032674
1:0.38885 2:0.517627 3:-0.126045 4:0.438824 5:0.195664 6:0.430334 7:0.254892 8:-0.618121 9:-0.373025 10:-0.002065 11:0.07217 12:0.385373 13:0.126796
1:0.355701 2:0.509475 3:-0.064841 4:0.422499 5:0.190104 6:0.435994 7:0.248154 8:-0.650586 9:-0.334054 10:-0.030976 11:0.013333 12:0.379964 13:0.143456
1:0.311974 2:0.478989 3:-0.022407 4:0.395127 5:0.164005 6:0.439431 7:0.230627 8:-0.662992 9:-0.281559 10:-0.072923 11:-0.036766 12:0.370534 13:0.140849
1:0.236292 2:0.409952 3:0.029271 4:0.347985 5:0.130235 6:0.438934 7:0.22074 8:-0.651082 9:-0.191634 10:-0.146 11:-0.098463 12:0.348183 13:0.107372
1:0.161082 2:0.335593 3:0.08351 4:0.29202 5:0.108755 6:0.42925 7:0.209409 8:-0.624285 9:-0.097999 10:-0.220524 11:-0.155536 12:0.31802 13:0.072091
1:0.137511 2:0.301994 3:0.101871 4:0.256657 5:0.103073 6:0.418481 7:0.178004 8:-0.603494 9:-0.052124 10:-0.261877 11:-0.171194 12:0.295623 13:0.05939
